MONTGOMERY ............................,0,2,0,8,17,43,72,40,76,102,360
PRINCE GEORGE’S .....................,0,1,6,7,15,58,103,75,91,149,505
SOUTHERN AREA ...........................,3,1,4,9,9,32,74,60,74,79,345
CALVERT ......................................,1,0,0,5,2,11,22,23,23,16,103
CHARLES ......................................,1,1,3,1,4,17,26,14,24,37,128
ST MARY’S ...................................,1,0,1,3,3,4,26,23,27,26,114
EASTERN SHORE AREA ................,7,6,6,12,19,85,108,132,145,207,727
CECIL ............................................,2,0,0,1,7,9,44,52,49,81,245
KENT .............................................,0,0,0,1,0,3,3,2,10,6,25
QUEEN ANNE’S ............................,0,0,1,1,0,4,5,16,10,12,49
CAROLINE ....................................,4,0,0,0,1,3,7,6,9,14,44
TALBOT .........................................,0,1,0,2,2,7,3,10,11,11,47
DORCHESTER .............................,0,0,2,0,1,3,7,4,9,15,41
WICOMICO ...................................,1,4,1,7,1,34,24,24,26,34,156
SOMERSET ..................................,0,0,2,0,1,6,3,8,9,12,41
WORCESTER ...............................,0,1,0,0,6,16,12,10,12,22,79
MARYLAND ......................................,148,153,154,198,221,464,691,891,869,921,"4,710"
NORTHWEST AREA ........................,10,9,13,16,20,27,43,67,51,65,321
GARRETT .....................................,0,0,0,0,1,0,1,0,3,1,6
ALLEGANY ....................................,0,2,2,2,5,9,13,12,6,10,61
WASHINGTON ..............................,3,5,6,6,10,9,10,31,24,31,135
FREDERICK ..................................,7,2,5,8,4,9,19,24,18,23,119
BALTIMORE METRO AREA ............,97,108,102,138,167,348,522,693,647,666,"3,488"
BALTIMORE CITY .........................,48,59,47,82,93,202,285,388,380,393,"1,977"
BALTIMORE COUNTY ..................,19,17,27,28,38,80,123,132,138,135,737
ANNE ARUNDEL ..........................,18,13,12,19,19,31,66,91,72,89,430
CARROLL ......................................,3,7,7,2,6,8,14,23,24,8,102
HOWARD ......................................,5,7,5,3,6,7,16,19,9,16,93
HARFORD .....................................,4,5,4,4,5,20,18,40,24,25,149
NATIONAL CAPITAL AREA .............,24,22,25,29,16,44,62,49,74,86,431
MONTGOMERY ............................,12,12,13,10,5,11,17,18,29,26,153
PRINCE GEORGE’S .....................,12,10,12,19,11,33,45,31,45,60,278
SOUTHERN AREA ...........................,3,6,1,3,6,8,19,33,39,33,151
CALVERT ......................................,2,3,0,2,0,2,3,3,9,8,32
CHARLES ......................................,1,1,0,0,2,4,10,13,12,16,59
ST MARY’S ...................................,0,2,1,1,4,2,6,17,18,9,60
EASTERN SHORE AREA ................,14,8,13,12,12,37,45,49,58,71,319
CECIL ............................................,7,2,5,4,3,3,15,14,12,13,78
KENT .............................................,0,0,0,1,1,0,1,1,4,2,10
QUEEN ANNE’S ............................,1,0,0,0,0,1,2,5,6,4,19
CAROLINE ....................................,1,1,0,1,0,5,2,1,2,2,15
TALBOT .........................................,0,0,3,0,1,2,2,3,6,5,22
DORCHESTER .............................,1,1,1,0,0,1,7,2,5,6,24
WICOMICO ...................................,3,4,3,4,7,13,7,13,21,21,96
SOMERSET ..................................,0,0,0,0,0,4,2,6,2,7,21
WORCESTER ...............................,1,0,1,2,0,8,7,4,0,11,34
MARYLAND ......................................,68,73,69,103,91,126,146,127,107,114,"1,024"
NORTHWEST AREA ........................,9,5,6,13,8,21,19,10,9,15,115
GARRETT .....................................,0,0,1,0,1,0,2,0,1,2,7
ALLEGANY ....................................,1,0,1,3,1,6,5,1,1,3,22
WASHINGTON ..............................,4,3,2,5,3,6,2,4,2,4,35
FREDERICK ..................................,4,2,2,5,3,9,10,5,5,6,51
BALTIMORE METRO AREA ............,39,49,44,66,56,78,98,90,64,69,653
BALTIMORE CITY .........................,9,15,14,22,15,24,28,28,27,26,208
BALTIMORE COUNTY ..................,9,12,16,24,18,29,25,32,17,21,203
ANNE ARUNDEL ..........................,14,11,3,9,11,9,27,16,11,10,121
CARROLL ......................................,0,1,3,3,4,1,4,4,3,2,25
HOWARD ......................................,4,2,5,0,6,8,5,1,1,4,36
HARFORD .....................................,3,8,3,8,2,7,9,9,5,6,60
NATIONAL CAPITAL AREA .............,9,6,7,12,8,12,15,15,17,17,118
MONTGOMERY ............................,6,4,4,10,7,7,8,9,10,8,73
PRINCE GEORGE’S .....................,3,2,3,2,1,5,7,6,7,9,45
SOUTHERN AREA ...........................,2,4,4,6,7,7,8,4,7,6,55
CALVERT ......................................,1,1,1,3,1,1,2,2,0,0,12
CHARLES ......................................,0,2,1,2,4,4,4,1,3,3,24
ST MARY’S ...................................,1,1,2,1,2,2,2,1,4,3,19
EASTERN SHORE AREA ................,9,9,8,6,12,8,6,8,10,7,83
CECIL ............................................,6,7,3,3,5,2,1,2,4,2,35
KENT .............................................,0,0,0,0,0,1,2,0,0,0,3
QUEEN ANNE’S ............................,1,0,0,0,1,1,0,3,0,1,7
CAROLINE ....................................,0,0,0,0,0,0,1,0,1,2,4
TALBOT .........................................,0,0,3,0,1,1,1,0,1,0,7
DORCHESTER .............................,0,1,1,0,0,1,0,0,1,0,4
WICOMICO ...................................,1,0,0,1,2,1,0,1,1,2,9
SOMERSET ..................................,0,1,1,0,0,0,0,0,0,0,2
WORCESTER ...............................,1,0,0,2,3,1,1,2,2,0,12
MARYLAND ......................................,10,16,8,15,14,32,28,37,58,75,293
NORTHWEST AREA ........................,0,1,0,1,2,4,1,4,3,5,21
GARRETT .....................................,0,0,0,0,0,0,0,0,0,0,0
ALLEGANY ....................................,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON ..............................,0,0,0,0,1,0,1,0,0,2,4
FREDERICK ..................................,0,1,0,1,1,4,0,4,3,3,17
BALTIMORE METRO AREA ............,4,7,4,3,2,11,8,9,23,19,90
BALTIMORE CITY .........................,1,2,1,1,1,2,2,3,8,5,26
BALTIMORE COUNTY ..................,0,1,1,0,0,2,1,0,2,2,9
ANNE ARUNDEL ..........................,3,2,1,1,1,6,5,5,11,10,45
CARROLL ......................................,0,1,0,0,0,0,0,0,0,0,1
HOWARD ......................................,0,1,1,1,0,1,0,1,2,1,8
HARFORD .....................................,0,0,0,0,0,0,0,0,0,1,1
NATIONAL CAPITAL AREA .............,4,6,3,10,8,13,16,20,25,41,146
MONTGOMERY ............................,2,1,0,1,1,2,2,4,2,10,25
PRINCE GEORGE’S .....................,2,5,3,9,7,11,14,16,23,31,121
SOUTHERN AREA ...........................,1,2,1,1,2,3,2,4,6,8,30
CALVERT ......................................,1,0,0,0,1,0,2,1,2,3,10
CHARLES ......................................,0,2,1,1,0,3,0,3,4,4,18
ST MARY’S ...................................,0,0,0,0,1,0,0,0,0,1,2
EASTERN SHORE AREA ................,1,0,0,0,0,1,1,0,1,2,6
CECIL ............................................,0,0,0,0,0,0,0,0,1,0,1
KENT .............................................,0,0,0,0,0,0,0,0,0,0,0
QUEEN ANNE’S ............................,0,0,0,0,0,0,0,0,0,0,0
CAROLINE ....................................,0,0,0,0,0,0,0,0,0,0,0
TALBOT .........................................,0,0,0,0,0,0,0,0,0,1,1
DORCHESTER .............................,1,0,0,0,0,0,0,0,0,0,1
WICOMICO ...................................,0,0,0,0,0,1,1,0,0,1,3
SOMERSET ..................................,0,0,0,0,0,0,0,0,0,0,0
WORCESTER ...............................,0,0,0,0,0,0,0,0,0,0,0
MARYLAND ......................................,0,2,6,3,10,18,28,32,41,76,216
NORTHWEST AREA ........................,0,1,1,0,1,2,5,6,11,7,34
GARRETT .....................................,0,0,0,0,0,0,2,1,1,3,7
ALLEGANY ....................................,0,0,1,0,0,1,0,2,2,1,7
WASHINGTON ..............................,0,0,0,0,1,1,1,3,7,2,15
FREDERICK ..................................,0,1,0,0,0,0,2,0,1,1,5
BALTIMORE METRO AREA ............,0,1,3,1,4,12,12,13,13,28,87
BALTIMORE CITY .........................,0,1,2,1,1,8,5,5,7,13,43
BALTIMORE COUNTY ..................,0,0,1,0,0,1,1,4,4,7,18
ANNE ARUNDEL ..........................,0,0,0,0,0,0,2,2,2,1,7
CARROLL ......................................,0,0,0,0,1,0,1,1,0,2,5
HOWARD ......................................,0,0,0,0,2,2,1,1,0,1,7
HARFORD .....................................,0,0,0,0,0,1,2,0,0,4,7
NATIONAL CAPITAL AREA .............,0,0,2,0,4,3,4,4,6,9,32
MONTGOMERY ............................,0,0,0,0,0,1,2,1,3,2,9
PRINCE GEORGE’S .....................,0,0,2,0,4,2,2,3,3,7,23
SOUTHERN AREA ...........................,0,0,0,0,1,1,3,1,1,2,9
CALVERT ......................................,0,0,0,0,0,0,1,1,1,0,3
CHARLES ......................................,0,0,0,0,1,1,2,0,0,2,6
ST MARY’S ...................................,0,0,0,0,0,0,0,0,0,0,0
EASTERN SHORE AREA ................,0,0,0,2,0,0,4,8,10,30,54
CECIL ............................................,0,0,0,0,0,0,4,6,8,26,44
KENT .............................................,0,0,0,0,0,0,0,0,1,0,1
QUEEN ANNE’S ............................,0,0,0,0,0,0,0,0,0,1,1
CAROLINE ....................................,0,0,0,1,0,0,0,0,1,1,3
TALBOT .........................................,0,0,0,0,0,0,0,0,0,0,0
DORCHESTER .............................,0,0,0,0,0,0,0,0,0,0,0
WICOMICO ...................................,0,0,0,1,0,0,0,1,0,0,2
SOMERSET ..................................,0,0,0,0,0,0,0,0,0,0,0
WORCESTER ...............................,0,0,0,0,0,0,0,1,0,2,3
MARYLAND ......................................,161,195,239,270,310,582,517,472,423,566,"3,735"
NORTHWEST AREA ........................,16,12,21,27,30,47,31,34,37,37,292
GARRETT .....................................,1,0,2,1,1,1,2,1,2,1,12
ALLEGANY ....................................,2,4,2,3,6,14,4,7,3,7,52
WASHINGTON ..............................,4,3,6,11,10,17,14,15,20,17,117
FREDERICK ..................................,9,5,11,12,13,15,11,11,12,12,111
BALTIMORE METRO AREA ............,99,126,154,166,215,403,334,339,273,343,"2,452"
BALTIMORE CITY .........................,44,71,86,86,114,222,198,187,165,169,"1,342"
BALTIMORE COUNTY ..................,22,24,32,39,52,81,71,80,53,91,545
ANNE ARUNDEL ..........................,21,15,22,18,27,56,37,44,34,49,323
CARROLL ......................................,4,4,4,9,6,12,9,10,6,7,71
HOWARD ......................................,4,6,6,6,5,14,7,5,4,11,68
HARFORD .....................................,4,6,4,8,11,18,12,13,11,16,103
NATIONAL CAPITAL AREA .............,28,38,35,36,32,67,86,51,58,102,533
MONTGOMERY ............................,16,15,13,18,15,22,35,19,19,43,215
PRINCE GEORGE’S .....................,12,23,22,18,17,45,51,32,39,59,318
SOUTHERN AREA ...........................,7,7,7,12,11,22,24,17,18,28,153
CALVERT ......................................,2,2,1,4,3,7,4,9,5,10,47
CHARLES ......................................,3,2,4,5,4,12,9,3,10,14,66
ST MARY’S ...................................,2,3,2,3,4,3,11,5,3,4,40
EASTERN SHORE AREA ................,11,12,22,29,22,43,42,31,37,56,305
CECIL ............................................,3,6,9,5,8,8,12,10,5,16,82
KENT .............................................,0,0,1,1,0,1,1,0,1,2,7
QUEEN ANNE’S ............................,3,0,1,7,0,2,4,3,1,1,22
CAROLINE ....................................,1,0,1,2,0,5,4,1,2,3,19
TALBOT .........................................,0,2,2,0,0,0,5,4,5,6,24
DORCHESTER .............................,0,1,0,0,1,1,2,1,5,5,16
WICOMICO ...................................,2,2,6,7,3,12,9,8,12,8,69
SOMERSET ..................................,1,1,1,2,2,3,1,0,1,4,16
WORCESTER ...............................,1,0,1,5,8,11,4,4,5,11,50
